K562	rank_K562	MCF7	rank_MCF7	NCIH2030	rank_NCIH2030	LPS141	rank_LPS141	SKMEL2	rank_SKMEL2
SIGLECL1	7257	NELL1	7257	FAM71E2	7257	OR1L4	7257	STON1-GTF2A1L	7257
FAM120B	7258	GAL3ST3	7258	TRIM77	7258	MAGI3	7258	KRTAP10-12	7258
AKR1C4	7259	SLC35A1	7259	SPINK5	7259	EPHA5	7259	MTUS2	7259
TMEM119	7260	AGTPBP1	7260	GZMK	7260	MEIKIN	7260	NPIPA3	7260
MORN3	7261	ZNF804A	7261	MZF1	7261	NTAN1	7261	CHST6	7261
VPS33B	7262	OSCAR	7262	ETNK2	7262	AGTPBP1	7262	CANX	7262
MSL1	7263	DNASE1	7263	ETS1	7263	OR2AP1	7263	SPRED1	7263
ZNF623	7264	PLSCR1	7264	DENND6B	7264	INPP5F	7264	CATSPER3	7264
CSF1	7265	SEC14L5	7265	F5	7265	POLR2M	7265	NDUFB2	7265
LHB	7266	PPP1R14B	7266	ZSWIM7	7266	ASAH2B	7266	OR2T35	7266
POMGNT2	7267	CAPG	7267	RANBP3L	7267	ZNF878	7267	SPATA18	7267
ATG16L1	7268	SUSD4	7268	BTBD3	7268	CDC42SE1	7268	RTP5	7268
SCN5A	7269	C2orf76	7269	LIMK1	7269	PAMR1	7269	SIPA1L2	7269
RDH11	7270	ZNF567	7270	SNTG2	7270	GLIPR1L1	7270	RCC2	7270
STK25	7271	PDHA2	7271	SLC44A3	7271	PSG8	7271	MAGEB4	7271
SIRPB2	7272	ERMP1	7272	F11	7272	ANKFY1	7272	DDI2	7272
RANBP10	7273	MCAM	7273	OR1B1	7273	MROH1	7273	KCTD9	7273
STON1-GTF2A1L	7274	USP17L8	7274	TMEM41A	7274	ATP8B1	7274	MTO1	7274
TRIM39	7275	SLC24A2	7275	CYFIP2	7275	PDZD11	7275	NDUFS1	7275
QTRTD1	7276	KRT9	7276	AMY2B	7276	MUC21	7276	C1orf53	7276
CCL13	7277	LCE6A	7277	APOD	7277	GPX3	7277	ADAMDEC1	7277
NID1	7278	NNT	7278	RPS6KA5	7278	DSC1	7278	DIS3L2	7278
BCL7A	7279	MAN1A1	7279	NDUFS4	7279	BIN1	7279	SPIN3	7279
PKHD1	7280	VANGL1	7280	DEFB115	7280	DSG3	7280	SESTD1	7280
MLXIP	7281	ASPN	7281	ACIN1	7281	KLRC2	7281	CSTA	7281
TRIM55	7282	MKRN1	7282	ASAP2	7282	PDSS1	7282	CELF3	7282
ARFGEF2	7283	TARSL2	7283	PPAPDC3	7283	ZNF543	7283	LBP	7283
TBC1D28	7284	KCNQ2	7284	RBFOX3	7284	CCDC179	7284	ADGRA1	7284
AADACL4	7285	SP8	7285	SPAST	7285	ABCD1	7285	MS4A6A	7285
SENP1	7286	PRR13	7286	PPP1R9B	7286	BTG3	7286	CAST	7286
CLEC4D	7287	ZNF160	7287	KIF5A	7287	TMEM120A	7287	TTLL10	7287
GPX6	7288	SEC23IP	7288	LPP	7288	OR2V1	7288	PRKCD	7288
PRICKLE3	7289	TRADD	7289	LGALS7	7289	CHN1	7289	SLC45A2	7289
ZBTB14	7290	RABL2B	7290	GABRE	7290	RHNO1	7290	IGF2	7290
KRT40	7291	NAF1	7291	PARL	7291	SLCO1B7	7291	FBXW4	7291
STAT3	7292	YPEL4	7292	PARP3	7292	TAX1BP1	7292	ANKRD33	7292
PABPC1L2A	7293	ABCC11	7293	TAS2R60	7293	SGMS2	7293	MSS51	7293
TRIM44	7294	GAS1	7294	SPTBN5	7294	SPATA33	7294	OR7C1	7294
DERL2	7295	NRBF2	7295	ABCA3	7295	BTRC	7295	FAM83F	7295
FABP2	7296	PYCR2	7296	RASGRP4	7296	RNF13	7296	EPHB3	7296
MXI1	7297	GOLGA6L6	7297	GNA11	7297	HMGCLL1	7297	MAP3K4	7297
USP38	7298	LIMS2	7298	SACS	7298	PRDM9	7298	NECAB3	7298
RNF10	7299	DUOXA1	7299	GNA14	7299	ARHGAP4	7299	SYT15	7299
WBP2	7300	ZPBP	7300	RWDD4	7300	DENND2C	7300	TTLL12	7300
NPY1R	7301	TMEM106C	7301	RGS12	7301	PURG	7301	C2orf49	7301
C21orf2	7302	ERCC1	7302	OR2M7	7302	MYOZ3	7302	DDIAS	7302
TEX14	7303	FOXM1	7303	CPEB1	7303	OR56B1	7303	KIRREL2	7303
SLC38A4	7304	NMS	7304	TMEM185A	7304	CUTC	7304	ANKS1A	7304
UBA6	7305	CALY	7305	CA6	7305	FBXO47	7305	IFFO1	7305
PAK4	7306	ARHGAP21	7306	AADAT	7306	GABRP	7306	ADAMTSL2	7306
FAM13C	7307	MARCHF11	7307	BNC1	7307	LILRA5	7307	METTL24	7307
TMEM120B	7308	HCFC1R1	7308	LOC286238	7308	SRI	7308	FAM208B	7308
BHLHA9	7309	CHML	7309	ACTRT2	7309	TRIM15	7309	C4orf22	7309
ODF4	7310	FMO3	7310	NLRP13	7310	WDR88	7310	TMEM88B	7310
INS-IGF2	7311	C11orf95	7311	RNASE2	7311	BZW1	7311	SUMF1	7311
PAN2	7312	A1CF	7312	OSBPL6	7312	HCAR1	7312	ZNF439	7312
TMPO	7313	TMEM110-MUSTN1	7313	CAPSL	7313	C7orf73	7313	SEMG2	7313
SPACA1	7314	TAAR6	7314	TMEM106C	7314	CALM1	7314	TATDN1	7314
SLC17A7	7315	DENND4A	7315	MTDH	7315	GPR152	7315	RALYL	7315
SAG	7316	ZNF383	7316	APOL4	7316	AGAP1	7316	MIR1-1HG	7316
CHCHD5	7317	PPP1R9A	7317	ZFAND4	7317	FEZF1	7317	ELMSAN1	7317
PLSCR2	7318	TOR1A	7318	WDR17	7318	RNF115	7318	OR5M1	7318
CT45A6	7319	GID4	7319	C5orf28	7319	C9orf84	7319	TVP23B	7319
PIAS4	7320	SERTAD4	7320	SERPINA11	7320	DESI2	7320	TACR2	7320
CLTA	7321	SLC9B1	7321	ABCC11	7321	LHX4	7321	PLXDC2	7321
KRT34	7322	CRTC3	7322	CDCA4	7322	SEMA3G	7322	C1QBP	7322
HSD17B11	7323	EIF2AK2	7323	COX7A2L	7323	INPP4A	7323	C1orf229	7323
CACNA1I	7324	RAVER2	7324	MS4A10	7324	DPPA5	7324	C8B	7324
RNF126	7325	CCNE2	7325	HNRNPA3	7325	ATP6V0D2	7325	PLET1	7325
SPNS3	7326	CNTN6	7326	LIMD2	7326	ANKRD23	7326	PDK1	7326
CYTH3	7327	PAPOLB	7327	PUS3	7327	TMEM232	7327	ATAD2	7327
SLC35G3	7328	CD300A	7328	SLC9C1	7328	BRD9	7328	MSANTD1	7328
DIAPH1	7329	MRPS36	7329	OR10P1	7329	CCHCR1	7329	OR3A3	7329
OR10G7	7330	KCNT2	7330	LILRA6	7330	DSEL	7330	GTF2IRD2B	7330
ADAP1	7331	RGMA	7331	MAST1	7331	AMPH	7331	LSM14B	7331
AADACL3	7332	DDX59	7332	PLA2G12A	7332	CTNND1	7332	ZNF10	7332
SETD3	7333	NEMF	7333	ERICH1	7333	OR4K17	7333	OR51G2	7333
DAZAP1	7334	EIF3K	7334	SAMD4B	7334	FOXD1	7334	SLC26A2	7334
SYT9	7335	RNF123	7335	PRKCE	7335	RABGAP1	7335	KIF27	7335
CNGA4	7336	GABRG2	7336	HOXD11	7336	PPP6R3	7336	IFIT5	7336
TMEM14E	7337	CRYBB3	7337	MAATS1	7337	NIF3L1	7337	SHD	7337
C2orf61	7338	MTRNR2L4	7338	CLEC4D	7338	CEP83	7338	GAGE1	7338
MPV17	7339	ZBTB10	7339	SIPA1	7339	MTDH	7339	SLC26A5	7339
HPCA	7340	SRGAP2	7340	SERPINA12	7340	ZNF763	7340	FBP1	7340
LDLRAD4	7341	GUF1	7341	ZFAT	7341	SCGB1C1	7341	CYP20A1	7341
LCE1B	7342	IFIH1	7342	AP5B1	7342	SSH2	7342	CD300LG	7342
ZNF266	7343	UCHL3	7343	ELF4	7343	CD74	7343	P3H2	7343
TRAP1	7344	NUDCD1	7344	DAG1	7344	TMEM209	7344	CALCRL	7344
FOLH1B	7345	LARP4	7345	NUDT1	7345	HIF3A	7345	SPRR1B	7345
UBR3	7346	NFAT5	7346	TERF2IP	7346	SOHLH2	7346	ST18	7346
PDE4D	7347	CCDC132	7347	ZNF385A	7347	APOA1	7347	MSH5	7347
CORO2A	7348	RFPL3	7348	ERAP1	7348	SPRR2E	7348	FMNL3	7348
NF2	7349	CREB3L3	7349	DACH2	7349	DDX17	7349	SPATA31A1	7349
UGT2A2	7350	OR6C6	7350	MSH2	7350	CRTC2	7350	ACOT1	7350
EPSTI1	7351	FBXO16	7351	PCDHA7	7351	OR5H15	7351	KLK11	7351
GTSF1	7352	BMP3	7352	KHDC1L	7352	B3GAT2	7352	ZDHHC9	7352
ZC3H12C	7353	TECPR2	7353	HIGD1B	7353	DENND6A	7353	LOC100129216	7353
TOB2	7354	FHL5	7354	GMDS	7354	BIRC6	7354	CD40	7354
ZWILCH	7355	IL32	7355	ORC2	7355	TTYH3	7355	HEATR6	7355
ADAM15	7356	SLC7A11	7356	MTARC1	7356	APTX	7356	VEPH1	7356
FBXO10	7357	ABI3BP	7357	CHI3L2	7357	ZER1	7357	FMNL2	7357
DZIP1	7358	MGME1	7358	MFAP3L	7358	VPS26A	7358	GOT1	7358
C19orf44	7359	ATP9B	7359	GLIPR1L1	7359	DOCK3	7359	IQCA1	7359
ANGPTL4	7360	ZNF571	7360	ARFGAP1	7360	HPS1	7360	ENTPD8	7360
CHRNA5	7361	HIST1H3H	7361	ATL1	7361	ZDHHC16	7361	ZNF528	7361
GLA	7362	ZNHIT1	7362	TSHZ2	7362	GNG11	7362	PPM1A	7362
ARL3	7363	TSEN15	7363	ADRB2	7363	MKRN2	7363	ZNF223	7363
MEA1	7364	SPACA7	7364	ANKRD2	7364	FMO5	7364	AP1M1	7364
LPA	7365	KCNQ3	7365	TG	7365	HLA-DRB1	7365	CASP9	7365
MSANTD2	7366	METTL6	7366	UBE3B	7366	DGAT2	7366	ING1	7366
CKMT1B	7367	ENTPD4	7367	NACC1	7367	RPRD1A	7367	SLC3A2	7367
KLHL24	7368	SRD5A1	7368	PRRG2	7368	FAM196B	7368	AMDHD1	7368
PLEKHG6	7369	RABEPK	7369	FOXC1	7369	TSPAN1	7369	GLP1R	7369
APOA1	7370	FBXO39	7370	NEDD8-MDP1	7370	FBXO16	7370	WFDC2	7370
UBE3A	7371	GJA8	7371	IGDCC3	7371	MRGPRG	7371	SPINK13	7371
RGS9	7372	SIGLEC5	7372	LOC729159	7372	GRB10	7372	PPM1D	7372
HSD17B6	7373	ATF6B	7373	DTWD2	7373	HIST1H2AG	7373	MYO10	7373
MEMO1	7374	ZFYVE1	7374	DTWD1	7374	ANKRD45	7374	OR1Q1	7374
FUNDC2	7375	MZT2B	7375	PLXNB1	7375	GLYR1	7375	ABI3BP	7375
ZNF585B	7376	CTTNBP2NL	7376	RLTPR	7376	TLN2	7376	UBE2Q2L	7376
EFCAB14	7377	PGLYRP4	7377	ACAT1	7377	UROC1	7377	OR2G2	7377
PSG8	7378	IFT52	7378	DNASE1L1	7378	KAT6B	7378	ZZZ3	7378
C19orf38	7379	METTL1	7379	MAP2	7379	MBD3L5	7379	METTL15	7379
COL19A1	7380	UFSP1	7380	EVI2A	7380	ATP6V1G3	7380	LPIN3	7380
BEX1	7381	CCDC28B	7381	KCTD2	7381	MACF1	7381	FUT3	7381
RHCG	7382	ILVBL	7382	FNDC3A	7382	LRRC39	7382	HEPACAM2	7382
INIP	7383	ATP5SL	7383	ZNF880	7383	ZNF282	7383	HACD2	7383
PRR13	7384	PCSK1	7384	IL23R	7384	BFSP1	7384	ADAM9	7384
GHRH	7385	FGG	7385	CABIN1	7385	PIF1	7385	SEMA4F	7385
ZBTB37	7386	RHBDL2	7386	SSPO	7386	TRAF3IP1	7386	TMEM185A	7386
VDAC3	7387	PILRB	7387	MMP28	7387	FGF2	7387	ANKRD46	7387
SPAM1	7388	CACNA1H	7388	STMN1	7388	ACACB	7388	UBXN2B	7388
GHRL	7389	CCDC60	7389	GAB4	7389	SPATA20	7389	DDR2	7389
DLG3	7390	MIPEP	7390	EDF1	7390	PRR23D2	7390	BCL7C	7390
BZW2	7391	RAB12	7391	HIST2H2AB	7391	DENND1B	7391	CLDN19	7391
LOC100131303	7392	BRF2	7392	OR7G1	7392	TVP23C-CDRT4	7392	TRPM3	7392
ANXA2R	7393	TMED1	7393	SHMT2	7393	NSUN5	7393	MAP3K14	7393
PPP1R17	7394	RAB40AL	7394	HSDL1	7394	SPRY1	7394	MRPL54	7394
TRIM43B	7395	C12orf75	7395	ALG12	7395	SRRD	7395	PATE3	7395
WDR37	7396	THNSL2	7396	VN1R2	7396	NEDD4	7396	SAFB2	7396
TEX40	7397	TMEM41A	7397	RBMY1F	7397	CT45A3	7397	GXYLT1	7397
OR4B1	7398	DNAJC4	7398	RBM20	7398	BAZ1A	7398	ITPRIPL1	7398
ACOT6	7399	ONECUT1	7399	OR5M3	7399	USE1	7399	APOBEC3A	7399
VWDE	7400	LPA	7400	MTR	7400	FIGNL2	7400	C10orf90	7400
SNRK	7401	C9orf72	7401	TADA3	7401	CDC34	7401	LRRC70	7401
CLPSL2	7402	FANCA	7402	IDI2	7402	ZNF75A	7402	POU4F2	7402
WDR63	7403	CAPN9	7403	ZNF462	7403	UBE2A	7403	DDX39A	7403
NBN	7404	CEP295	7404	PRIMPOL	7404	AHNAK	7404	SPRYD3	7404
SNAPIN	7405	OR2A4	7405	FAM25A	7405	CAPN13	7405	ZNF575	7405
ZNF812	7406	EPS8L3	7406	REG1A	7406	OR1J1	7406	IGHMBP2	7406
USP13	7407	TREM2	7407	TBX15	7407	SPAG11B	7407	RDH12	7407
ERP27	7408	DUSP22	7408	THAP10	7408	CARD10	7408	CCDC85A	7408
EPB41L2	7409	FAF1	7409	SLC2A13	7409	IDI2	7409	C6	7409
EHHADH	7410	FAM25G	7410	HOXB8	7410	SEC24A	7410	APOA4	7410
AK7	7411	IER3	7411	SYCP3	7411	SLC23A1	7411	HERC2	7411
CCZ1	7412	PAPOLG	7412	GUCD1	7412	RAB2B	7412	HSDL2	7412
ACBD4	7413	PRAMEF7	7413	NEK1	7413	PKD2L1	7413	HSPA6	7413
MAGEA2B	7414	TTF2	7414	ZNF136	7414	MC3R	7414	FADS2	7414
RPRD2	7415	GMPR2	7415	HAS2	7415	ACTL9	7415	OSTN	7415
ING5	7416	SLC20A2	7416	RGPD2	7416	STPG1	7416	HIST2H4A	7416
CASS4	7417	ITSN1	7417	ZNF112	7417	RASGEF1B	7417	SNTB2	7417
DAZL	7418	SPTBN4	7418	TCEAL2	7418	CUL7	7418	ODAM	7418
NDST4	7419	BRPF1	7419	FBXL15	7419	MFSD11	7419	PRR13	7419
MROH9	7420	GNG11	7420	TMTC3	7420	SLC7A11	7420	PARD6G	7420
GALNT6	7421	FAM195B	7421	ST3GAL4	7421	PRDX1	7421	TMPRSS5	7421
CREB5	7422	TNFSF12	7422	HOXA13	7422	SETD3	7422	KRT31	7422
OR2C3	7423	REL	7423	HID1	7423	SYNE1	7423	HAL	7423
ATG3	7424	FAM111B	7424	RPL36A-HNRNPH2	7424	CEP76	7424	GOPC	7424
GOLGA8B	7425	NIPA2	7425	KCNJ12	7425	CHRNB3	7425	BCL6	7425
COL18A1	7426	TSPAN12	7426	LRRC36	7426	SOX13	7426	RGL2	7426
EML4	7427	SV2C	7427	C4orf29	7427	MGC50722	7427	GSTM2	7427
MB	7428	APBB1IP	7428	HOOK2	7428	TPGS2	7428	TMEM213	7428
PIGB	7429	KLHDC8A	7429	C4orf46	7429	TAS2R41	7429	CBX5	7429
SSR2	7430	B3GALT5	7430	SSC4D	7430	METTL11B	7430	CABP7	7430
NXNL1	7431	LRRC10B	7431	PRSS56	7431	TAS2R42	7431	UBQLNL	7431
ACOT8	7432	CAMK4	7432	ADH1C	7432	PYURF	7432	KLHL40	7432
NHSL1	7433	NCF4	7433	WDYHV1	7433	MTMR2	7433	C15orf27	7433
SPATA9	7434	CAPN8	7434	TSEN54	7434	FOXR2	7434	PDE1C	7434
PCDHGC5	7435	OR2T27	7435	PALB2	7435	ZFAND1	7435	MAL	7435
TCP11X2	7436	DSTN	7436	OR6P1	7436	DNM1	7436	FOXK2	7436
FAM117A	7437	PSAP	7437	C12orf79	7437	TSSK2	7437	ARL6IP1	7437
ACOT7	7438	CEP76	7438	FAM187B	7438	IREB2	7438	GLIPR1L1	7438
PIGS	7439	OR2V1	7439	AP3M2	7439	ZDBF2	7439	HCRTR1	7439
FEZ2	7440	GMCL1	7440	ARHGAP20	7440	PSME4	7440	NPAP1	7440
NISCH	7441	DDHD1	7441	APBB3	7441	GPR21	7441	ATXN3	7441
ADCYAP1R1	7442	HIST1H1D	7442	KCNV2	7442	SOCS6	7442	IL15RA	7442
TCEAL4	7443	OSGEP	7443	SLC25A22	7443	SYT7	7443	VWC2L	7443
SQRDL	7444	OR4N5	7444	LTF	7444	FAIM	7444	AP1S2	7444
FEZ1	7445	SNX6	7445	KBTBD12	7445	BPIFB6	7445	SMCR8	7445
NOL4L	7446	TAP1	7446	FGG	7446	ATXN7L3	7446	ZBTB20	7446
PCDHGA8	7447	SESN1	7447	OR11H6	7447	PDE3B	7447	TRIM59	7447
FBXO5	7448	PRR20E	7448	OR5D13	7448	CCDC25	7448	IRF6	7448
CNOT8	7449	KCNIP3	7449	TADA1	7449	DNAH17	7449	LILRB4	7449
TMEM60	7450	SPP1	7450	MXD4	7450	GTF2IRD2B	7450	VAPA	7450
EGF	7451	FCHSD1	7451	THEM5	7451	YY1AP1	7451	RNF103-CHMP3	7451
C1QTNF4	7452	ATP5J	7452	ELK1	7452	TPTE2	7452	LHFPL5	7452
FAM98A	7453	ADRA1B	7453	FER	7453	GLIPR2	7453	C5orf38	7453
CASD1	7454	PLEKHH1	7454	SLC47A2	7454	GPSM2	7454	FAM162A	7454
ADCY5	7455	PXT1	7455	AMOTL1	7455	OR2T10	7455	ATP2A3	7455
ZSCAN2	7456	NMT2	7456	KRT31	7456	R3HDML	7456	MSC	7456
SMIM9	7457	SNX2	7457	S1PR1	7457	ZNF493	7457	ATG9B	7457
FAM46B	7458	DSEL	7458	SOX15	7458	USP17L10	7458	EHD1	7458
XAGE3	7459	SMCO2	7459	IL11RA	7459	TNFRSF1B	7459	FABP9	7459
CLDN8	7460	UGT1A9	7460	PHC2	7460	NXPE3	7460	GNB5	7460
CALHM1	7461	FBXL16	7461	PCDHGB6	7461	SSX2B	7461	FHOD1	7461
SLC38A5	7462	WNT5A	7462	LACC1	7462	CD55	7462	OPA3	7462
CCNB2	7463	EBF2	7463	C16orf82	7463	LIN28B	7463	LUM	7463
HMMR	7464	CDKL3	7464	OSBPL9	7464	C4orf29	7464	ASS1	7464
GSK3A	7465	EPHA3	7465	LAMA1	7465	SACS	7465	RABEP2	7465
CCDC151	7466	ANO5	7466	CDHR1	7466	CD36	7466	EDN1	7466
RER1	7467	GLRA1	7467	NOS3	7467	CHML	7467	CPLX4	7467
ANXA8	7468	AMY2B	7468	EVI5L	7468	CSTB	7468	COL2A1	7468
STK32B	7469	SLC26A7	7469	KDELR2	7469	PDCD4	7469	AP3D1	7469
SESN3	7470	NR2C1	7470	LDLRAP1	7470	SERTAD4	7470	MAP3K7CL	7470
UCK1	7471	FLT3LG	7471	PRDM9	7471	CCDC132	7471	PPP2R5A	7471
SPRR4	7472	MOB3C	7472	C5orf67	7472	DHODH	7472	ABCC10	7472
KLK8	7473	TLR5	7473	CSRP2BP	7473	NADK	7473	LRRC49	7473
TRIM38	7474	C1orf87	7474	TCF7	7474	CEP131	7474	AREL1	7474
FBXO7	7475	CT45A9	7475	FEN1	7475	CD82	7475	KMT2A	7475
OAS2	7476	TMEM87B	7476	FRRS1L	7476	ESRP1	7476	TEX9	7476
ARHGAP25	7477	BAMBI	7477	ZNF436	7477	RTN1	7477	ACADSB	7477
ZNF518B	7478	COX8A	7478	GNLY	7478	MRO	7478	CCL17	7478
ADAMTS15	7479	SPRR2B	7479	VASH2	7479	ANKRD33	7479	AS3MT	7479
SBF1	7480	TRIML1	7480	PLEKHA6	7480	OR2C1	7480	RNF11	7480
METTL8	7481	HTR1F	7481	FAM101A	7481	DNAJC5B	7481	RNF213	7481
MCCC2	7482	HIPK3	7482	EFEMP2	7482	IGFBP6	7482	TMEM184C	7482
PAPOLG	7483	GPR84	7483	ROBO1	7483	ARNT	7483	C4orf19	7483
C8G	7484	FSTL5	7484	YAP1	7484	FBXO21	7484	GDPGP1	7484
BBS7	7485	BTNL3	7485	MCTP1	7485	LOC100129216	7485	MTX3	7485
TACR1	7486	KDM4E	7486	SLC26A11	7486	PFKP	7486	C1orf116	7486
FAM133B	7487	SRP68	7487	OR4K13	7487	PRRG2	7487	ADPRHL1	7487
DAO	7488	ZC3H12B	7488	PIK3R2	7488	C10orf54	7488	FAM65B	7488
SYT6	7489	IFNA5	7489	ASIC3	7489	M6PR	7489	BACH2	7489
OCRL	7490	ADCK4	7490	SMIM24	7490	COL23A1	7490	NOMO1	7490
MT1H	7491	SNRPE	7491	CCDC116	7491	WRAP73	7491	MTARC2	7491
PTPN3	7492	SPANXA2	7492	AKAP13	7492	PIK3C2B	7492	MSH4	7492
ACTG1	7493	FAM9B	7493	CYB5RL	7493	FABP2	7493	POU6F1	7493
NAA16	7494	TXNL1	7494	KLF1	7494	SPTSSB	7494	MTRR	7494
PRKCE	7495	TBXAS1	7495	PCTP	7495	CRKL	7495	OR2T6	7495
AMDHD1	7496	GCLM	7496	TMEM65	7496	LUC7L	7496	HGD	7496
ZMYND10	7497	IMPDH1	7497	EVA1B	7497	SH3YL1	7497	CLDN15	7497
C3orf70	7498	CFAP74	7498	VIM	7498	KCND1	7498	TOMM34	7498
LY96	7499	LAT2	7499	FGF3	7499	GREB1L	7499	TBC1D2B	7499
SKAP2	7500	ZFHX2	7500	PKD1	7500	COL22A1	7500	VCPKMT	7500
SLC29A4	7501	GATA1	7501	PRX	7501	MTRNR2L8	7501	NAPB	7501
PGM5	7502	VPREB1	7502	ARL9	7502	DDX39B	7502	PLCB2	7502
GRAMD1C	7503	JMJD1C	7503	PTPN20	7503	ACP2	7503	GRIN2C	7503
PRAMEF10	7504	COL6A1	7504	DKKL1	7504	MYBPC1	7504	SIRT5	7504
SLC25A18	7505	KRTDAP	7505	RNF181	7505	VWA1	7505	SIDT2	7505
KLF17	7506	CEP55	7506	BHLHB9	7506	PYCR1	7506	ZNF140	7506
ZDHHC9	7507	STRADB	7507	PFKFB4	7507	PPFIA2	7507	LCNL1	7507
FBXO22	7508	CST8	7508	KLHL31	7508	ADAMTS6	7508	IL17RB	7508
ZNF735	7509	GRAMD1C	7509	DYDC1	7509	ZNF266	7509	TPTE2	7509
IL34	7510	SMIM9	7510	HHIP	7510	KCNT1	7510	GPATCH11	7510
TPSG1	7511	CYP4F3	7511	KAZALD1	7511	LDB1	7511	OBP2B	7511
SLC5A6	7512	MMRN2	7512	RUSC2	7512	NRBF2	7512	IFNA17	7512
C1GALT1C1	7513	C3orf18	7513	FAM32A	7513	TMEM132A	7513	AGMO	7513
OR52E8	7514	CAPN7	7514	TRPA1	7514	LEPR	7514	KDM4E	7514
ZNF783	7515	AKR1C3	7515	TMEM121	7515	KIF9	7515	CCR9	7515
NKX1-2	7516	REG4	7516	CHL1	7516	LYAR	7516	OVOL1	7516
ACTL9	7517	DEFB130	7517	PANK4	7517	COL6A5	7517	DNAJC22	7517
CHST3	7518	ZMAT5	7518	LHFPL4	7518	ASPG	7518	VPS4A	7518
GDPD1	7519	IGF2BP1	7519	HDAC4	7519	FCGR1A	7519	UBE2D1	7519
SREK1	7520	HSD3B1	7520	RAET1E	7520	CAPS2	7520	CLPSL1	7520
STK17A	7521	C14orf159	7521	PCDHGA5	7521	ATG3	7521	CTAGE9	7521
CD2AP	7522	SAGE1	7522	PYGO1	7522	LONP2	7522	NBPF3	7522
ADAD2	7523	ENDOU	7523	AGPS	7523	RARRES3	7523	SF3B6	7523
HIST1H2BF	7524	PML	7524	HOXD12	7524	PRY	7524	OSBPL3	7524
CIDEC	7525	KATNAL1	7525	ZNF528	7525	RAB28	7525	ZFAND4	7525
FRRS1	7526	LAMTOR5	7526	RAB35	7526	ZNF23	7526	FAM129B	7526
HDHD2	7527	ABI1	7527	SSTR1	7527	TRAF3	7527	CCDC105	7527
ZNF485	7528	ZNF3	7528	TBC1D8B	7528	FBXO31	7528	RTN4RL1	7528
NDUFAF5	7529	GPATCH2L	7529	MYO1H	7529	DDIT4L	7529	CORO6	7529
GPR84	7530	GTF2A1L	7530	TLE6	7530	STXBP3	7530	UNC119B	7530
ADGRG6	7531	TENM3	7531	TPD52	7531	MAPKAPK2	7531	BHLHE41	7531
METTL20	7532	CERS2	7532	MPO	7532	UBL4A	7532	GPR158	7532
SAV1	7533	SATB2	7533	OSCP1	7533	GGT6	7533	MAP4K5	7533
SLC47A1	7534	SUPV3L1	7534	TRPM3	7534	ABHD16A	7534	TTL	7534
RAET1E	7535	GPR68	7535	OR5R1	7535	OR2S2	7535	CATSPERG	7535
ZNF692	7536	IFI44	7536	ERGIC2	7536	MUL1	7536	TCF7L2	7536
C4orf33	7537	PEX5	7537	DAZL	7537	IMPG1	7537	ZNF705E	7537
ZNF324B	7538	P3H1	7538	DZIP1	7538	WBSCR27	7538	ASMTL	7538
GIT1	7539	PRKCSH	7539	TAF9B	7539	BMP6	7539	CAD	7539
CD53	7540	SP140	7540	SEMA3A	7540	POLL	7540	TTC34	7540
HGD	7541	TFB1M	7541	OOSP2	7541	DPP8	7541	TSSK2	7541
EPN3	7542	LRP2BP	7542	LOC388436	7542	CCDC102A	7542	PIAS3	7542
NMUR2	7543	HAAO	7543	NUDT3	7543	OR8H1	7543	KCNRG	7543
POGZ	7544	CDRT15L2	7544	RNH1	7544	DGKK	7544	IFITM1	7544
HSPA4L	7545	APOBEC3F	7545	SPATA17	7545	B3GALTL	7545	ST3GAL5	7545
NAA30	7546	FBXO45	7546	MAGED1	7546	H1FOO	7546	PRPSAP1	7546
MAGEA2	7547	GPR171	7547	LCP2	7547	PCED1B	7547	PTMS	7547
TUBB3	7548	GNAI3	7548	SHISA9	7548	LMNB2	7548	IL33	7548
USP50	7549	PALMD	7549	UNC80	7549	AGPAT9	7549	TMEM62	7549
TPM3	7550	VWC2L	7550	DDX31	7550	SLC36A2	7550	ABLIM2	7550
PRAF2	7551	KIAA1210	7551	CISD3	7551	OR6M1	7551	MYL5	7551
COX7A2	7552	H2AFY2	7552	TVP23C	7552	WHSC1	7552	FTSJ1	7552
CXorf21	7553	ALCAM	7553	USP16	7553	FBXO22	7553	TDRD10	7553
C9orf57	7554	IL36B	7554	ADPRM	7554	MRLN	7554	ALS2	7554
ATM	7555	DGKH	7555	MMP10	7555	ELF4	7555	SLC30A5	7555
ACSF3	7556	INVS	7556	OR52E6	7556	ZDHHC5	7556	ERICH2	7556
WDR17	7557	KRT34	7557	CLMP	7557	PLXNA2	7557	ALG9	7557
SIDT2	7558	HNRNPLL	7558	MAP4K3	7558	MAOA	7558	FBXL15	7558
NAT6	7559	ZNF683	7559	RAB5B	7559	FAM19A2	7559	CLUAP1	7559
CRHR2	7560	MAP3K1	7560	SYNGR3	7560	SGTB	7560	SMAP2	7560
FAM222B	7561	ALDH16A1	7561	MCUR1	7561	TDRD12	7561	MKS1	7561
MYH1	7562	MEIOB	7562	DEFB136	7562	DENND4A	7562	HAVCR1	7562
KRTAP5-8	7563	F8A3	7563	SSX4	7563	ATP9A	7563	FUT11	7563
MATN1	7564	AHI1	7564	SMOC1	7564	TXNDC8	7564	NFE2	7564
