K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
FUT11	0.549114	0.59327	KLF5	0.85408	0.20294	PRR5-ARHGAP8	0.80368	0.35066	BTN2A2	0.998835	-0.46603
FOXD2	0.821696	0.29135	NUPR1L	0.970683	-0.078616	LEMD2	0.987047	-0.0904	C6orf58	0.998835	-2.4559
SOX17	0.910444	0.53555	RARRES2	0.814406	0.26443	C17orf62	0.406749	0.56439	SLC15A2	0.998835	-3.3865
PAX1	1	-0.36774	YWHAZ	0.736526	0.38879	GADD45A	0.79484	0.14099	RNF44	0.998835	-0.68372
SSR2	1	-0.12135	ZC3H8	0.582324	0.59173	DHCR7	0.912875	0.048251	MAPRE2	0.998835	4.8814
ZCCHC14	0.621911	0.56632	ANAPC11	0.736477	0.45676	PLA2G4F	1	0.10851	SHROOM1	0.998835	3.7028
PHACTR2	0.405018	0.47236	YARS2	0.780963	0.59271	TRIM31	0.319705	0.77949	RNF212B	0.998835	-2.6634
TRIM49B	1	-0.32759	MED30	0.987741	-0.25392	TMEM98	0.89121	0.20758	PDE2A	0.998835	-3.0698
POMGNT2	0.670563	-0.11342	PAXBP1	0.822775	0.33103	CMTM3	0.761969	0.5602	IQCJ-SCHIP1	0.998835	-3.4519
ESCO2	1	-0.37171	C3orf38	0.773403	0.36422	KCNMB1	0.868594	0.16912	CWC22	0.998835	-0.78871
MRPL49	1	0.3211	C18orf63	0.902882	0.040263	DDX11	0.998466	-0.42543	CTU1	0.998835	-0.78871
TLN1	0.632928	-0.53915	ZNF680	0.970683	0.0028273	TAAR8	0.998427	-0.059023	PSMA4	0.998835	-0.78871
FOXO4	0.248441	1.9204	SPAG11B	0.896977	-0.1121	ZNF572	0.771012	-0.21884	NCAPD3	0.998835	-0.78871
SH2D6	0.591784	-0.31367	ANO6	0.736526	0.31905	PHF21B	1	-0.031092	MYBBP1A	0.998835	-0.78871
LIMA1	0.591784	0.89768	SCIMP	0.73785	0.17958	RASSF4	0.870878	0.21434	HAUS8	0.998835	-0.78871
TTYH3	0.136246	1.7028	NR2C2	0.773403	0.26955	CDCA7	0.374038	0.25617	GEMIN4	0.998835	-0.78871
DEFA4	0.621911	-0.31278	PCGF5	0.565813	0.47639	C7orf55-LUC7L2	0.507319	0.55926	HIST2H3D	0.998835	-0.78871
CLNK	0.785778	-0.36342	MIR205HG	0.773403	0.2554	RFPL1	1	0.045408	YY1	0.998835	-0.78871
CCDC83	0.485834	-0.52825	PM20D2	0.565813	0.72177	AKNA	0.80368	-0.097033	IMP4	0.998835	-0.78871
SBK1	0.785778	0.039413	CD276	0.684578	0.13671	HSPH1	0.448131	0.22539	SCFD1	0.998835	-0.78871
NGEF	1	0.1691	HOXA9	0.80442	0.33208	JMJD1C	0.405491	0.89116	RBBP6	0.998835	-0.78871
LRRN1	0.478197	-0.22723	CSE1L	0.091771	1.6389	PTP4A2	0.869823	0.60548	CCDC82	0.998835	-0.78871
RCHY1	1	-0.12783	USP17L22	0.551081	1.1541	TPPP2	0.80368	0.27885	VPS45	0.998835	-2.7952
EVX1	0.175784	2.1694	BLOC1S6	0.825622	0.13526	THAP11	0.359385	0.4911	RRP12	0.998835	-0.78871
ANKRD39	0.591784	0.43406	RALGDS	0.617958	0.37876	SLAIN1	0.882038	0.30466	PSMA3	0.998835	-4.0356
EIF4H	1	-0.17644	ADPRHL2	0.565813	0.37227	KIAA1551	0.672529	0.60928	DMAP1	0.998835	-0.78871
CRABP1	0.822943	0.015164	LCE2D	0.896977	0.18655	ADAMTS16	0.864783	0.2181	RAD51D	0.998835	-0.78871
RAD23A	0.621911	0.10181	PCDHA9	0.80252	0.20883	AP4E1	0.972988	0.048517	DTL	0.998835	-0.78871
SRR	0.529516	0.99206	KLK1	0.835824	0.18612	CDC42BPA	0.438332	0.42559	RPS25	0.998835	-0.78871
SNX13	0.454718	1.194	TONSL	0.957543	0.13866	SPTLC2	1	-0.009599	WBSCR16	0.998835	-0.78871
OCLN	0.248441	1.8472	SUCO	0.837602	0.30809	NME3	0.656316	0.27155	NSF	0.998835	-0.78871
PCDHGA6	0.282547	1.6565	CAPNS1	0.84445	0.28476	MRPL28	1	0.099205	ALG6	0.998835	-0.78871
RHOG	0.526285	1.0312	ZNF174	0.950005	-0.023603	BOD1	0.718896	0.22436	ACTR10	0.998835	-3.0275
FBXO34	0.501385	0.63842	MFNG	0.975814	0.012049	EEF1E1	0.912875	0.21455	PGD	0.998835	-0.78871
BLOC1S1	0.40075	0.17239	C10orf111	0.90719	0.11112	CLDN16	0.972988	-0.0154	VPS53	0.998835	-0.78871
HAUS3	0.591784	0.69998	MARCHF2	0.820732	0.3386	CFAP70	1	-0.094743	SSU72	0.998835	-0.78871
TMEM72	0.629689	0.12688	MOSPD3	0.047891	0.97253	C1orf226	0.925043	0.2337	C9orf41	0.998835	-3.131
LRRTM4	0.591784	-0.13242	GLOD4	0.736526	0.55569	NLGN3	1	0.022786	FBN2	0.998835	-3.2461
RABL2B	0.910243	-0.47621	SSBP4	0.599122	0.77632	RGS7BP	0.879549	0.14167	GPI	0.998835	-0.88658
C10orf35	0.248441	-0.14602	SPRR1A	0.924895	0.25975	CHRNA5	0.972988	0.10632	GRID1	0.998835	2.852
DDR2	1	-0.5302	LAMA1	0.865383	-0.13044	IFNA4	0.998427	0.017796	EARS2	0.998835	-1.2227
CDH7	0.741697	0.4226	NPEPPS	0.707911	0.40767	PROS1	1	-0.0016478	FAM127B	0.998835	-1.3653
VPS13A	0.987508	-0.46359	ALOX15	0.520399	0.62247	SFN	0.889053	0.25237	FAM178A	0.998835	-1.2958
SPIN2A	1	-0.04087	C1orf228	0.222118	1.3075	KCNC4	0.81215	0.37064	HMMR	0.998835	-2.7439
NPHP4	0.591784	-0.27812	HS3ST3A1	0.814406	0.13076	ZC3HC1	0.996088	0.065553	ILF3	0.998835	-1.2958
CCR6	0.75631	0.010407	PHF10	0.565813	0.63218	TTR	1	-0.17206	MARS2	0.998835	-1.0644
GPRIN3	1	-0.49016	ITPR3	0.863784	0.12409	C1QL1	0.972988	-0.14171	GTF2H2C	0.998835	-0.16511
CDC26	0.813496	0.65164	TMEM174	0.530213	0.42077	ZNF146	0.972988	-0.16004	HAPLN4	0.998835	-2.7439
NPAT	1	0.060031	PMS1	0.820732	0.084866	DIAPH1	0.908287	0.10064	HIST1H1B	0.998835	-1.3653
GLB1	0.740507	0.22209	PDCD6IP	0.684578	0.058104	PLIN1	1	-0.053708	DOCK3	0.998835	-1.3653
UTP20	0.591784	0.30531	KCNQ2	0.965991	0.00099631	CSNK1G2	0.791938	0.36444	C17orf80	0.998835	-1.0644
OXSR1	0.248441	1.825	SPACA5B	0.814406	0.22866	BAZ2A	0.771012	0.47301	C1S	0.998835	-2.6355
BBS5	0.184046	1.1748	MARCHF10	0.942037	0.033322	NMD3	0.869823	0.60548	C6orf106	0.998835	-2.4559
TMEM243	0.892097	0.27878	PRSS48	0.544939	0.2523	C11orf74	0.771012	0.37475	ACTRT1	0.998835	-4.0879
UBE2F	0.591784	-0.24173	UGT1A5	0.780963	0.26822	SMIM8	0.993971	0.060519	ALYREF	0.998835	-0.4476
EVI5L	0.529516	0.4335	SPANXA2	0.939412	0.16168	BBS7	0.864783	-0.10155	BRE	0.998835	-1.3653
BMP1	0.812216	-0.081026	NRXN1	0.962532	0.20435	NCAPH2	0.882038	0.22639	DHX38	0.998835	-1.3653
CD300C	0.591784	0.74641	EXO1	0.471721	0.2736	EPHX4	0.972143	0.12671	DNAJC13	0.998835	-3.1704
FLT4	0.621911	-0.22784	BTNL10	0.970683	0.0018257	ETV3	1	-0.053155	DNAJC9	0.998835	-0.97823
CHID1	0.632928	0.047134	TAF6L	0.669489	0.23327	LYRM1	0.947831	0.055884	C7orf26	0.998835	-1.3653
DLK1	0.451582	0.23125	PON1	0.471721	0.62352	SLFN5	0.868594	0.25476	DCLRE1B	0.998835	-0.57048
TNFRSF10B	0.591784	0.46606	NPL	0.707911	0.56329	NOVA1	0.501155	0.48465	DERL1	0.998835	-1.3653
RIPK2	0.976654	0.35267	GLT8D2	0.84445	0.34472	CDC42BPB	0.407591	0.75264	STK40	0.998835	-1.3653
BMP2	1	0.4742	TUBB4A	0.707911	0.45988	CHCHD6	0.987047	-0.042397	TATDN2	0.998835	-1.0644
CCNO	0.451582	1.1892	UCP2	0.91444	-0.049413	TPM4	0.868594	0.018077	TBCB	0.998835	-0.57048
PRDX1	0.987508	0.40271	FAM159B	0.814406	0.38856	TMEM62	1	-0.073382	RNASE11	0.998835	-1.0644
SLPI	0.591784	0.51326	CT47A10	0.339561	0.52427	CCL16	1	-0.01482	RPE	0.998835	-0.78871
ADCY10	0.621911	-0.34101	SDF2	0.930027	0.1421	BLID	0.457337	0.51244	SEPTIN5	0.998835	-0.57048
BICD1	0.591784	0.92091	ZFP91	0.80252	0.41032	WNT9B	1	-0.073967	USP17L26	0.998835	-1.3653
SERPINB3	0.740507	-0.45093	MIF4GD	0.85408	0.20597	ARAP1	0.972988	0.17178	USP47	0.998835	-1.3653
LOC102724862	1	-1.8368	CCT6A	0.814406	0.15712	AP1AR	0.932463	0.097628	WBP11	0.998835	-1.3653
PQLC2	0.357126	1.3613	ACBD6	0.822775	0.1614	ALDH8A1	0.884402	0.16947	TCF7	0.998835	-1.3653
RANBP17	1	0.19327	SMARCC1	0.745343	0.1773	SMNDC1	1	-0.041636	TMEM39B	0.998835	-1.3653
TMEM180	0.283728	-0.04964	CETP	0.915718	-0.064255	RAMP2	0.898393	-0.039584	TXNRD1	0.998835	5.0294
MRO	0.621911	0.76936	CKS1B	0.467233	1.1123	PPDPF	0.771012	0.3143	RBMX2	0.998835	-1.2958
EVI5	1	0.059573	RAB9A	0.820732	0.15728	BCHE	0.897144	0.18586	NUP133	0.998835	-0.97823
GALP	1	0.28791	HELLS	0.814406	0.44698	LNPEP	0.438332	0.11228	OR2M5	0.998835	-1.3653
IRF9	0.529516	0.41064	RPS6KA5	0.719681	0.023688	ICAM5	1	-0.035009	OR4F17	0.998835	-1.2958
CCNH	0.894421	0.30531	PHF19	0.85003	0.20607	SPR	0.89121	0.22772	MED22	0.998835	-2.8689
SH3GLB1	0.666297	-0.34396	HPS1	0.483699	0.50718	RPGR	0.81215	0.19824	MRPS14	0.998835	-1.3653
AGAP2	0.221336	1.8482	FMNL2	0.652423	0.69842	SCNM1	0.81215	0.34601	NOL7	0.998835	-1.2958
SF3A2	1	-0.82112	RPH3AL	0.822775	0.14157	S100G	0.81215	0.27398	POTEB2	0.998835	-1.3653
TMEM62	0.61945	-0.50549	SLC34A3	0.972901	-0.018634	ZKSCAN7	1	-0.1102	PTPRH	0.998835	-1.3653
RNF208	0.29361	0.96102	SDCCAG8	0.719682	0.38916	TAGLN	0.81215	0.3445	RASA4B	0.998835	2.8829
USF1	0.47665	1.1182	UPK3A	0.667421	0.30752	KLF14	0.771012	0.26412	OTUD7A	0.998835	-2.8202
CEP104	0.135837	0.89995	CLEC3B	0.915718	0.22491	SPRN	1	0.056239	P2RY13	0.998835	-2.7952
IFT88	0.811813	-0.56009	KLK6	0.814406	0.34554	FER1L6	0.588704	0.3592	PEX12	0.998835	-1.3653
USP17L3	1	-0.26494	KRTAP2-2	0.707911	0.51747	FZD2	0.81215	0.087836	CRNN	0.998835	5.2996
HIST2H3C	0.191694	0.30531	SPATA8	0.85408	0.22675	UIMC1	0.908287	-0.0039588	PAQR8	0.998835	-1.5559
EIF6	0.529516	0.48423	ARNTL	0.85408	0.19374	C16orf89	0.912875	0.023469	PATE3	0.998835	-1.6702
WDHD1	1	-0.6436	MT1F	0.667421	0.56743	KLRK1	0.961956	-0.021998	PCDHGA10	0.998835	-1.6702
OPN5	0.248441	1.919	RPAP3	0.814406	0.44786	SMURF1	0.405491	0.083062	CPT1C	0.998835	-1.6702
TCP10	0.563372	0.86292	PHF7	0.872281	-0.12276	RPL35A	1	-0.48526	OXGR1	0.998835	5.7262
EIF4E2	0.621911	0.72739	DHX34	0.272056	0.82864	ATP6V0C	0.252112	1.6643	CRYBB2	0.998835	-3.632
TIMP2	0.877592	0.76183	CHST3	0.822775	0.040515	SLC12A1	0.950719	0.015428	P2RX2	0.998835	-1.6702
ZKSCAN2	1	0.25272	CDK15	0.698116	0.58045	TRIM61	1	0.0062166	CRYBA1	0.998835	-3.0059
MMP8	0.310978	1.4242	GRIN3B	0.344836	0.51117	TBX6	0.897584	0.21163	P3H4	0.998835	-1.6702
FLT3	0.621911	-0.31905	GPR35	0.780963	0.31118	ASPDH	0.672529	0.26204	PCM1	0.998835	-0.78871
FAM217A	1	0.1719	HSPE1	0.85408	0.15712	PTN	0.438332	-0.087011	PCDHGB7	0.998835	-1.6142
HOXC9	0.929363	0.12558	MRPL20	0.982575	-0.22179	TEX38	0.887585	-0.2019	CNST	0.998835	3.3077
TMEM128	0.290614	0.098229	POLR2L	0.697946	0.76863	MSH2	0.972988	0.069197	PDS5A	0.998835	2.9964
PITX2	0.822943	0.4902	RPL18A	0.85408	0.12873	ADD2	1	-0.05029	CNPY4	0.998835	-1.3653
RGS17	1	-0.41878	RALGPS2	0.483699	0.42726	FRAT1	0.971265	0.010515	COL6A5	0.998835	-1.6702
NUP210	0.591784	0.31637	PTGES	0.565813	-0.075703	CBWD6	0.373645	0.62877	CPSF4L	0.998835	-1.6702
CCDC80	0.813496	0.14644	ARHGEF10L	0.814406	0.12226	ITGAE	0.822286	0.22907	COL27A1	0.998835	1.0883
ABAT	0.75631	0.50551	WDFY2	0.865383	0.055009	SHISA6	0.80368	0.11639	CNTNAP4	0.998835	4.0816
NAIF1	0.282547	0.56867	SMIM19	0.84445	0.011807	ST6GALNAC3	0.89121	0.20758	CNTROB	0.998835	-1.6702
AKR1C3	0.282764	0.84021	MAGEB17	0.688381	0.35864	DOT1L	1	-0.089382	OST4	0.998835	5.2908
THEG5	0.636778	0.43369	PYROXD2	0.253616	0.55401	MAP3K6	1	-0.096863	DNHD1	0.998835	-0.31326
VAMP3	0.852662	-0.18901	ZSCAN5B	0.73785	0.37797	TTC36	1	0.11419	DNTTIP2	0.998835	-0.57048
CYP17A1	0.293846	-0.28261	RGPD5	0.641119	1.0526	ABCC12	0.718896	0.35761	NDUFA8	0.998835	-1.3653
STEAP3	1	0.20446	AHNAK	0.939412	-0.11114	PCP2	0.972988	0.020576	DCAF17	0.998835	-1.6702
NSDHL	1	-0.52345	METAP2	0.557284	1.0908	ZNF285	0.771583	0.24019	NHLH2	0.998835	-1.6702
PCDHGA10	0.987508	-0.061044	GNPTAB	0.780963	0.34796	C19orf73	0.716124	0.11503	NAP1L2	0.998835	3.005
TDG	0.785778	0.070629	RGS2	0.820732	0.20571	CHIA	0.972988	-0.028216	ECHDC1	0.998835	-1.6702
GRM5	0.813496	0.041904	NTRK2	0.85408	0.061359	PSME1	0.362964	0.85805	NCKAP5	0.998835	-1.6702
PTCHD2	0.47665	0.94458	OR10K1	0.950005	-0.16654	SOX15	0.672529	0.60548	NDUFA12	0.998835	-1.1457
OR10J5	1	0.1738	OR10A3	0.814406	0.015812	CCL4L2	0.864783	0.19279	DPF1	0.998835	-1.1457
PIGW	1	-0.48807	NPTN	0.863784	-0.046931	OR1J1	0.917374	0.1314	OR2T1	0.998835	2.735
PIGT	0.847616	-0.070268	KCNE3	0.471721	0.086593	CATSPER2	0.80368	0.11226	CYP24A1	0.998835	4.5854
PRR5-ARHGAP8	0.248441	1.9023	CASC3	0.865383	0.013283	SNRPF	1	-0.83184	CYP11A1	0.998835	-1.6702
ACOT4	0.666297	0.058017	HIST1H2AL	0.73785	0.42317	WBSCR22	0.672529	0.17178	OR8I2	0.998835	-2.7698
JADE3	0.591784	0.84775	TPSD1	0.822775	0.27253	WASH1	0.81215	-0.83184	CTAGE4	0.998835	-1.6702
NLGN4Y	1	-0.0009102	GAL3ST2	0.736526	0.43994	C22orf23	0.952234	-0.15757	NTMT1	0.998835	4.9418
WHAMM	0.872224	-0.18879	ISOC1	0.825622	0.2114	RNF133	1	-0.02553	NHSL2	0.998835	-1.6702
VIT	1	-0.29219	MLN	0.796063	0.32613	NDUFA5	0.687513	0.35885	OBP2B	0.998835	-1.6702
CGN	0.75631	-0.50388	TRIM69	0.982478	-0.0078884	ST8SIA2	0.972988	0.083585	OR13C9	0.998835	-1.6702
FAM210B	0.812216	0.61125	MEAF6	0.667421	0.77972	PLA2G12A	0.870878	-0.074756	CYP27A1	0.998835	3.2255
PCDHGA4	0.376349	-0.38223	KCNN1	0.975814	-0.035539	PLAGL1	1	-0.091723	RALB	0.998835	-1.6702
PARVA	1	-0.27826	RRP12	0.681257	0.63748	CDC42	1	-0.15782	RAB8B	0.998835	-3.3004
OR10AG1	0.248441	0.11699	SNX14	0.565813	1.4615	USP12	0.849216	0.26025	RARG	0.998835	-1.6702
MAGEH1	1	0.34864	RAB40A	0.773403	0.64895	OR2T3	0.963018	0.14104	RASGRP1	0.998835	-1.1457
AVP	1	-0.54609	APBA2	0.942037	0.041174	C1orf111	0.81215	0.10615	RASEF	0.998835	-2.4236
GINM1	0.813496	0.23797	EVX1	0.915718	0.1338	DUSP16	1	-0.049669	PSME2	0.998835	-1.6702
LIG4	1	0.35039	SYNCRIP	0.820732	0.32966	MGST3	0.492103	0.46768	PRUNE	0.998835	-1.6702
TBX6	1	-0.53503	DPY30	0.92643	0.094171	MARCHF4	0.912875	0.059801	PTPRT	0.998835	-1.2227
NIPAL3	1	0.13315	ABI2	0.526497	0.23443	FUOM	0.961956	-0.18131	RAB27B	0.998835	3.1281
WDR19	1	-0.36128	MTMR14	0.820732	0.23278	TBC1D9	1	0.059961	PYDC2	0.998835	-2.4236
FBXL20	1	-0.34097	SUPT4H1	0.848761	-1.8869	C1orf177	1	-0.14081	RLN3	0.998835	3.3463
BMPER	0.472271	1.1591	FAM160A2	0.530213	0.58541	FAM73A	0.963018	-0.10096	RIC8B	0.998835	-1.0644
PRAP1	0.785778	0.35001	TMEM45B	0.986516	-0.014997	CTRB2	0.988122	-0.024085	SBF2	0.998835	-2.4874
NFE2L1	0.178248	0.76834	HSPD1	0.939524	0.15712	DNMT3B	0.319705	0.62196	SCUBE3	0.998835	-0.78871
TMEM106C	0.248441	1.8777	PPP1CB	0.947838	0.12873	P2RY6	1	-0.07974	SCAMP2	0.998835	-1.6702
NKPD1	1	-0.4487	RPL19	0.85408	0.57484	DEFB130	0.875008	-0.0014295	RB1CC1	0.998835	-1.2958
BAHD1	0.63607	-0.3893	PPIAL4C	0.471721	0.1719	TRAPPC11	0.360259	-0.37967	RASSF8	0.998835	-0.4476
HEXB	0.248441	-0.15923	RAC1	0.814406	0.85511	NOP2	0.972988	0.25407	RCN3	0.998835	0.36212
BRWD3	0.577019	0.93304	RPL4	0.352831	0.76863	GATAD2B	1	-0.12637	RHPN1	0.998835	-1.0644
ADGRF2	1	0.021429	DGCR6L	0.565813	0.35815	GLS	0.81215	0.37064	RGS10	0.998835	-1.6702
MAP1LC3B	1	0.12685	ENDOU	0.950005	-0.065848	G0S2	0.672529	0.38266	PRSS33	0.998835	1.2271
BTBD2	0.499686	0.90395	SMIM17	0.820732	0.30507	C15orf62	1	0.06345	PINX1	0.998835	-1.6702
CLSTN2	0.248441	0.34587	PDSS1	0.698116	0.37384	TAS2R4	0.996518	-0.1679	PIK3R5	0.998835	-1.6702
FAM90A1	0.248441	-0.37574	FZD6	0.530213	0.57648	C2orf69	0.972988	0.20698	PNPLA7	0.998835	-2.7439
AP4M1	0.405018	0.80892	NUP62CL	0.820732	0.12574	TLR10	0.448131	0.64716	PPM1B	0.998835	0.19802
FAM122C	0.451582	-0.19872	THEM5	0.939412	-0.16695	SCFD1	0.753803	0.34239	PNPLA8	0.998835	-1.0644
CPQ	0.591784	0.051348	VN1R1	0.963167	-0.015955	TMEM8B	1	-0.083897	PEX10	0.998835	-1.6702
KRT77	0.241712	1.3823	LPPR5	0.949902	0.1809	LCE3A	0.898393	0.087118	PDZD8	0.998835	-1.4951
NT5C3B	1	-0.26262	CLSTN2	0.930027	0.10027	DGUOK	0.771012	-0.015944	PGAM2	0.998835	-1.6702
ARHGAP32	0.474347	1.0476	UBE2K	0.976871	0.019491	TP53INP1	1	-0.025409	PIBF1	0.998835	-1.6702
AGRP	0.591784	-0.0043432	ZNF322	0.926726	0.24572	ZNF136	1	0.0011543	PHGR1	0.998835	10.2
CYTH2	0.753434	0.73981	FOXL1	0.291922	1.0063	BHLHB9	1	0.058224	PRDX6	0.998835	-2.984
VCX3A	0.248441	0.63781	ADSSL1	0.929807	0.14964	FMO4	0.389824	0.44168	PRDX5	0.998835	-2.7439
FTO	1	-0.29734	CHGB	0.924093	0.21718	MTRNR2L2	0.438332	0.36736	PRICKLE2	0.998835	5.3779
SMARCA5	0.248441	1.8956	BAG3	0.557284	0.32817	CLNK	0.997678	-0.0773	PRR23D1	0.998835	3.8382
PCDHGA12	0.591784	-0.087766	HSD17B1	0.963167	-0.0008408	TSC22D1	0.80368	0.10173	PRKCD	0.998835	-1.6702
PAK3	0.135837	1.372	NQO1	0.773403	0.40257	FMO3	0.695945	0.25294	PPP2R5C	0.998835	-1.4951
ZCWPW2	0.595108	0.54643	ALDH18A1	0.61804	0.35967	CLIP1	1	-0.099106	PPP1R16A	0.998835	-0.13096
NME6	0.737145	-0.53962	EZH2	0.253616	0.91015	C20orf173	0.972988	0.14779	PPP3R2	0.998835	-3.0488
MAD2L1BP	0.157961	2.2466	FAM221A	0.718841	-0.078546	BTG4	1	0.088976	PRAMEF14	0.998835	-1.6702
PKP1	0.248441	0.26864	LILRA1	0.681257	0.3652	DDX42	0.912875	-0.51357	PPTC7	0.998835	-2.6907
ACHE	0.248441	0.91474	FAM35A	0.841169	0.14664	DDX31	1	-0.089419	ELF3	0.998835	-1.6702
SS18	1	-0.43922	PTGDR	0.975814	0.046659	PRSS36	0.89121	-0.054977	IHH	0.998835	5.9723
KCTD19	0.621911	-0.078822	RSPH4A	0.915718	0.22559	UEVLD	1	-0.11324	IGSF11	0.998835	-1.6702
PCBP3	0.167642	1.9447	ZBED9	0.803918	0.23657	C1orf146	0.252112	0.11874	IPP	0.998835	-0.31326
VSIG1	1	-0.050005	TMCO2	0.814406	0.28955	ANKRD20A1	1	0.12508	JAG2	0.998835	6.8024
ZBTB20	1	0.25655	ALMS1	0.822775	0.30259	IFIT3	0.849216	0.33727	IZUMO1	0.998835	-0.4476
DNAJB13	0.591784	-0.2925	EFCAB1	0.894106	-0.19009	XRRA1	1	-0.2926	HSPH1	0.998835	-2.8202
RTP4	0.478197	-0.46427	DCUN1D5	0.975814	-0.030286	SLC9A7	0.912875	-0.045874	HSPB2	0.998835	-1.6702
SIX6	0.75631	0.0089379	ELMO3	0.557284	0.1152	EBF3	1	-0.060883	HTR3B	0.998835	-1.6702
ANKK1	0.75631	-0.53869	ZDHHC9	0.822775	0.42692	HSPA13	0.096443	-0.01409	IGFBPL1	0.998835	-1.6702
TMEM218	0.386996	-0.52109	CISH	0.520399	0.81586	NSUN7	1	0.022144	HYAL3	0.998835	-0.31326
KATNAL1	0.563372	0.95131	HSPB6	0.814406	0.28012	RASGRP1	1	0.11874	KLHL41	0.998835	-2.4559
IAPP	0.454718	1.1195	TEX261	0.85003	0.35807	GATC	0.868594	0.27403	KLHL1	0.998835	-1.6702
OR7A17	0.852662	0.36815	AGRP	0.80442	0.28054	ZC3H14	0.359385	0.68683	KLRC4-KLRK1	0.998835	-1.2227
SIRPD	1	-0.33514	HMHB1	0.942303	0.16755	TOX2	0.81215	0.072868	KRTAP10-12	0.998835	4.9343
ADRB1	0.591784	0.26881	TMEM55B	0.945754	0.0088175	DCUN1D5	0.81215	0.22522	KRIT1	0.998835	-1.2227
TBX10	0.79817	-0.19193	CAMSAP3	0.520399	0.56391	MARVELD3	0.523837	0.46556	KIAA0754	0.998835	-0.97823
GGA1	0.84943	0.68082	TEX26	0.684578	0.55862	SMAD6	0.405491	0.58748	KCNC1	0.998835	-1.6702
CYP2R1	0.621911	-0.026623	C9orf40	0.750694	0.058634	KLRC4	1	-0.086181	KIAA1024	0.998835	-1.2958
DYTN	1	-0.28283	NLGN2	0.530213	0.71531	NAV3	1	0.080428	KIAA1958	0.998835	2.141
RALGAPA1	0.591784	0.81583	NUCB2	0.873056	0.125	PRG4	0.961956	0.0098429	KIAA1033	0.998835	-1.6702
ZNF468	1	-0.27517	CAND2	0.471721	0.60473	SPATA22	0.632327	0.48598	HSPA4	0.998835	-1.6702
ATP5J2	0.526285	-0.828	MSI2	0.289505	0.16172	NHLRC4	0.972988	-0.12179	GNG2	0.998835	-1.3653
CCDC70	0.691464	-0.51845	ENPP6	0.773403	0.055441	ZNF862	0.912875	-0.098647	GHRL	0.998835	-0.68372
RHPN2	1	-0.071426	RSC1A1	0.676449	0.40614	BAGE2	0.672529	0.53482	GOLGA8A	0.998835	-1.6702
OR52J3	0.282547	1.6028	NCALD	0.824237	-0.0024637	ST3GAL3	0.961956	-0.10685	GP1BB	0.998835	-0.88658
HTT	1	-0.34197	CD160	0.822775	0.30987	EDC3	0.972988	-0.0058189	GOLM1	0.998835	0.5783
SLC25A48	1	-0.39208	PPIL6	0.814406	0.19133	GLCCI1	0.868594	-0.038197	FZD7	0.998835	-1.4317
OSTC	0.248441	-0.032127	LYPD1	0.450197	0.14436	KRTCAP2	0.771583	-0.066794	FYN	0.998835	8.9829
ZSCAN5A	1	-0.5507	NHLH2	0.872787	0.053128	HIST1H2BG	0.80368	0.27606	G2E3	0.998835	-0.97823
TTC26	1	-0.15566	CSRNP2	0.636934	-0.007848	OR9Q2	1	-0.048491	GCKR	0.998835	-0.4476
LPCAT3	0.577708	0.20792	HHAT	0.883408	0.2214	NOG	0.963018	0.020309	GALNTL6	0.998835	-1.4951
APOE	1	-0.50375	SEL1L3	0.471721	0.64431	RSPO4	1	0.14845	HNRNPA0	0.998835	-0.16511
DEF6	1	-0.14909	PSCA	0.853	0.24751	CUL4A	0.963018	0.16275	HIST1H2AI	0.998835	-0.31326
SAA4	1	-0.40279	SNX10	0.873056	0.12182	DMRT2	1	0.0025618	HOXD11	0.998835	-2.4236
AZI2	0.621911	0.1615	CRTAM	0.825622	0.33245	TRIM36	1	-0.11595	HSPA12B	0.998835	-3.0905
HCN1	0.47665	1.1207	FBXL4	0.915718	-0.038895	HEBP2	1	-0.11993	HPS3	0.998835	5.5186
PKD2L1	1	-0.098515	CDH22	0.471721	0.34269	ZNF142	1	-0.10579	GRHL2	0.998835	-0.31326
APP	0.591784	0.77215	ALDH5A1	0.344836	0.35719	KLF9	1	0.10757	GRAMD3	0.998835	-0.16511
IQGAP3	1	-0.31101	BMP5	0.755494	0.28456	CACNA1D	0.972988	-0.067521	GRIN1	0.998835	-2.9161
FBXO25	0.621911	0.57957	GOSR1	0.530213	0.90495	SIX3	0.898393	0.077651	HIPK4	0.998835	3.4495
TRIM58	1	-0.29992	ZNF566	0.773403	0.22237	FUNDC2	0.972988	0.15967	GUCA1C	0.998835	-1.6702
SVOP	1	-0.51365	VEGFC	0.939412	-0.048517	DCAF8L2	1	-0.014164	MKI67	0.998835	-1.6702
HMGN4	0.381702	1.3502	HNRNPCL2	0.891202	0.11544	PLD6	0.319705	0.81712	FCAR	0.998835	-0.379
TSSK3	0.963797	0.32361	DCP1A	0.970683	0.049625	ZBTB41	1	-0.19736	FAM120AOS	0.998835	-2.6355
HENMT1	0.591784	0.54911	LDHB	0.982478	-0.10504	KRT16	0.438332	0.60881	F8A2	0.998835	-0.78871
LAMA3	0.439519	-0.23563	RTP2	0.975814	0.048549	ZBTB3	0.912875	-0.073244	FAM104A	0.998835	-0.78871
